propertyId,address
ENTUS-100008670,"1108 Nueces St, 304-1, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 206-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 403-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 303-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 208-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 208-1, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 305-1, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 207-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 302-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 303-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 404-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 301-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 207-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 405-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 305-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 203-1, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 203-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 208-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 207-1, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 202-1, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 202-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 203-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 301-1, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 301-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 406-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 302-1, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 408-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 304-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 304-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 305-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 403-1, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 306-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 306-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 302-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 303-1, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 403-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 404-1, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 404-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 405-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 406-1, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 406-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 306-1, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 407-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 407-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 408-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 508-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 508-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 308-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 308-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 505-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 505-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 201-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 201-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 307-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 307-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 401-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 401-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 204-1, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 204-2, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 204-3, Austin, TX, 78701 USA"
ENTUS-100008670,"1108 Nueces St, 206-1, Austin, TX, 78701 USA"
